Serbo-Croatian	9	696
Polish	10	706
Ful	12	718
Portuguese	12	730
Turkish	12	742
Ukrainian	12	754
Creole English	14	768
Italian	15	783
Russian	17	800
Chinese	19	819
German	19	838
French	25	863
Spanish	28	891
Arabic	33	924
English	60	984
